#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
stack,3,0,1,411.41,119.10,90.00,0805,0805/1k,1.50,100,1.00,100,No,-40,1,70,4,50,80,No,No,
stack,12,0,1,411.06,303.85,90.00,0805,0805/10uF,1.50,100,1.50,100,No,-40,1,70,4,50,80,No,No,
stack,13,0,1,411.49,325.33,90.00,0805,0805/LED_RED,2.50,100,1.00,100,No,-40,1,70,4,50,80,No,No,
stack,96,1,1,311.85,65.46,0.00,0805,0805/100nF,1.50,100,1.00,100,No,-40,1,80,1,5,311.82,81.36,1,1,No,No,
stack,97,1,3,259.52,69.71,0.00,SOP20,ATtiny806-S,0.00,100,1.00,100,No,-40,1,80,1,1,288.28,68.98,1,1,No,No,
stack,98,1,4,282.15,74.07,0.00,SOT223-3,SOT-223/AMS1117-3.3,1.00,100,1.00,100,No,-40,1,80,1,1,271.63,69.02,1,1,No,No,
pcb,Manual,Lock,100,100,350,150,Front,10,10,0,
mark,Whole,Auto,138.939,25.0761,100.887,59.7966,90.9202,48.5604,138.772,60.0483,
markext,0,0.5,2,1,0,
markext,1,0.5,2,1,0,
markext,2,0.5,2,1,0,
markext,3,0.5,2,1,0,
test,No,
mirror_create,1,1,78.87,24.23,0,0,0,0,0,
mirror,80.25,49.78,0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,13,2,D130,LED_RED,0805,135.21,50.42,89.99,No,
comp,13,1,D131,LED_RED,0805,135.10,46.26,89.99,No,
comp,13,2,D132,LED_RED,0805,135.10,42.47,89.99,No,
comp,13,1,D133,LED_RED,0805,135.10,38.47,89.99,No,
comp,13,2,D134,LED_RED,0805,135.10,34.52,89.99,No,
comp,13,1,D135,LED_RED,0805,135.10,30.48,89.99,No,
comp,13,2,D136,LED_RED,0805,137.20,26.43,89.99,No,
comp,13,1,D137,LED_RED,0805,137.40,54.18,-90.01,No,
comp,13,2,D138,LED_RED,0805,137.40,50.36,-90.01,No,
comp,13,1,D139,LED_RED,0805,137.30,46.22,-90.01,No,
comp,13,2,D140,LED_RED,0805,137.30,42.49,-90.01,No,
comp,13,1,D141,LED_RED,0805,137.30,38.43,-90.01,No,
comp,13,2,D142,LED_RED,0805,137.30,34.49,-90.01,No,
comp,13,1,D143,LED_RED,0805,137.35,30.47,-90.01,No,
comp,13,2,D144,LED_RED,0805,135.10,26.43,-90.01,No,
comp,3,1,R1,1k,0805,98.62,53.43,179.99,No,
comp,3,2,R2,1k,0805,98.82,56.83,179.99,No,
comp,3,1,R3,1k,0805,98.62,41.44,179.99,No,
comp,3,2,R4,1k,0805,98.62,49.63,179.99,No,
comp,3,1,R5,1k,0805,98.91,26.04,179.99,No,
comp,3,2,R6,1k,0805,98.82,33.24,179.99,No,
comp,3,1,R7,1k,0805,98.71,37.44,-0.01,No,
comp,3,2,R8,1k,0805,98.62,45.43,-0.01,No,
comp,3,1,R9,1k,0805,98.82,29.44,-0.01,No,
comp,97,4,U1,ATtiny806-S,,88.02,31.64,-0.01,No,
comp,98,4,U2,AMS1117-3.3,SOT-223,85.23,46.44,-90.01,No,
